Titre,Vie,Attaque,Défense,Protection,Eval,Niveau,Caractéristiques,Bonus,Malus,Règles spéciales,Réputation,Argent,Récompenses,Nb
Boss 1,6,2D Rouge(s),1D Bleu(s),3,16,2,"Vie : 6\13\Combat : 2D Rouge(s)\13\Défense : 1D Bleu(s)\13\Protection : 3",,Sensible au dégâts des masses (+1 aux jets de dés faits par une masse).,Sensible au dégâts des masses (+1 aux jets de dés faits par une masse).,10,6,"Bonus Réputation : 10\13\Argent : 6",1
Boss 2,10,3D Orange(s),0D,3,23,3,"Vie : 10\13\Combat : 3D Orange(s)\13\Défense : 0D\13\Protection : 3",Immunisé contre les attaques à distance.,,Immunisé contre les attaques à distance.,13,10,"Bonus Réputation : 13\13\Argent : 10",1
Boss 3,11,5D Jaune(s),2D Cyan(s),2,21,3,"Vie : 11\13\Combat : 5D Jaune(s)\13\Défense : 2D Cyan(s)\13\Protection : 2",,,,10,11,"Bonus Réputation : 10\13\Argent : 11",1
Boss 4,8,3D Orange(s),2D Vert(s),1,16,2,"Vie : 8\13\Combat : 3D Orange(s)\13\Défense : 2D Vert(s)\13\Protection : 1",,,,8,8,"Bonus Réputation : 8\13\Argent : 8",1
Boss 5,10,3D Rouge(s),2D Bleu(s),3,25,3,"Vie : 10\13\Combat : 3D Rouge(s)\13\Défense : 2D Bleu(s)\13\Protection : 3",,,,15,10,"Bonus Réputation : 15\13\Argent : 10",1
Boss 6,6,1D Rouge(s),1D Bleu(s),2,15,1,"Vie : 6\13\Combat : 1D Rouge(s)\13\Défense : 1D Bleu(s)\13\Protection : 2","S'enfuit après deux tours d'attaque, s'il est en vie (remettre la carte sous le paquet de quêtes et remplacer par une nouvelle quête).",,"S'enfuit après deux tours d'attaque, s'il est en vie (remettre la carte sous le paquet de quêtes et remplacer par une nouvelle quête).",9,6,"Bonus Réputation : 9\13\Argent : 6",1
Boss 7,8,3D Jaune(s),3D Vert(s),3,16,2,"Vie : 8\13\Combat : 3D Jaune(s)\13\Défense : 3D Vert(s)\13\Protection : 3",,Perd un point de protection à chaque attaque d'un joueur où il subit des dégâts.,Perd un point de protection à chaque attaque d'un joueur où il subit des dégâts.,8,8,"Bonus Réputation : 8\13\Argent : 8",1
Boss 8,10,3D Orange(s),2D Vert(s),1,16,2,"Vie : 10\13\Combat : 3D Orange(s)\13\Défense : 2D Vert(s)\13\Protection : 1",,"Le boss gagne une pièce supplémentaire au début de chaque tour.\13\Le boss disparaît dès qu'il a accumulé 10 pièces (remettre la carte sous le paquet de quêtes et remplacer par une nouvelle quête).","Le boss gagne une pièce supplémentaire au début de chaque tour.\13\Le boss disparaît dès qu'il a accumulé 10 pièces (remettre la carte sous le paquet de quêtes et remplacer par une nouvelle quête).",6,10,"Bonus Réputation : 6\13\Argent : 10",1
Boss 9,14,3D Rouge(s),2D Bleu(s),1,23,3,"Vie : 14\13\Combat : 3D Rouge(s)\13\Défense : 2D Bleu(s)\13\Protection : 1",,Sensible aux épées (+1 aux jets de dés faits par des épées).,Sensible aux épées (+1 aux jets de dés faits par des épées).,9,14,"Bonus Réputation : 9\13\Argent : 14",1
Boss 10,5,2D Orange(s),2D Vert(s),2,13,1,"Vie : 5\13\Combat : 2D Orange(s)\13\Défense : 2D Vert(s)\13\Protection : 2",,,,8,5,"Bonus Réputation : 8\13\Argent : 5",1
Boss 11,6,2D Rouge(s),1D Bleu(s),0,14,1,"Vie : 6\13\Combat : 2D Rouge(s)\13\Défense : 1D Bleu(s)\13\Protection : 0",Gagne 1 Protection à chaque tour où il n'est pas attaqué.,,Gagne 1 Protection à chaque tour où il n'est pas attaqué.,8,6,"Bonus Réputation : 8\13\Argent : 6",1
Boss 12,8,3D Orange(s),3D Vert(s),0,14,1,"Vie : 8\13\Combat : 3D Orange(s)\13\Défense : 3D Vert(s)\13\Protection : 0",,,,6,8,"Bonus Réputation : 6\13\Argent : 8",1
